date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:36	2596/2596	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Mar%202023%2019:02:40%20GMT	https://www.excaltech.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.excaltech.com%2Fwindows-7%2F&format=xml	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/wp-json/oembed/1.0/embed8c38	(from https://www.excaltech.com/windows-7/)
00:32:39	199721/199721	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:41%20GMT	https://www.excaltech.com/ready-not-self-driving-cars-roads-video/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/ready-not-self-driving-cars-roads-video/index.html	(from https://www.excaltech.com/sitemap/)
00:32:40	199070/199070	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:41%20GMT	https://www.excaltech.com/animated-image-favorite-youtube-video/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/animated-image-favorite-youtube-video/index.html	(from https://www.excaltech.com/sitemap/)
00:32:40	200730/200730	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:42%20GMT	https://www.excaltech.com/3-gadgets-spice-office-2016-video/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/3-gadgets-spice-office-2016-video/index.html	(from https://www.excaltech.com/sitemap/)
00:32:40	200381/200381	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:43%20GMT	https://www.excaltech.com/netflix-hulu-amazon-video-service-gift/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/netflix-hulu-amazon-video-service-gift/index.html	(from https://www.excaltech.com/sitemap/)
00:32:40	198766/198766	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2013:35:17%20GMT	https://www.excaltech.com/colonel-sanders-technology-genius-kfcs-bucketprinter/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/colonel-sanders-technology-genius-kfcs-bucketprinter/index.html	(from https://www.excaltech.com/sitemap/)
00:32:40	197656/197656	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2013:42:41%20GMT	https://www.excaltech.com/advantage-notepads-text-to-audio-feature/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/advantage-notepads-text-to-audio-feature/index.html	(from https://www.excaltech.com/sitemap/)
00:32:45	139110/139110	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2019:02:50%20GMT	https://www.excaltech.com/chip-shortage-windows-11/t.src	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/chip-shortage-windows-11/t.src	(from https://www.excaltech.com/chip-shortage-windows-11/)
00:32:48	193783/193783	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2017:19:20%20GMT	https://www.excaltech.com/1985-hottest-technology/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/1985-hottest-technology/index.html	(from https://www.excaltech.com/sitemap/)
00:32:48	195722/195722	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:50%20GMT	https://www.excaltech.com/eyes-road-text/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/eyes-road-text/index.html	(from https://www.excaltech.com/sitemap/)
